Freq.	V(vout)
1.02896357229674e-002	(-6.36251917478345e+001dB,1.77048631776677e+002°)
1.02920052719442e-002	(-6.36211943838494e+001dB,1.77047952418454e+002°)
1.02943753665925e-002	(-6.36171970210776e+001dB,1.77047272903992e+002°)
1.02967460070382e-002	(-6.36131996595199e+001dB,1.77046593233252e+002°)
1.02991171934069e-002	(-6.36092022991766e+001dB,1.77045913406201e+002°)
1.03014889258242e-002	(-6.36052049400485e+001dB,1.77045233422802e+002°)
1.03038612044160e-002	(-6.36012075821360e+001dB,1.77044553283019e+002°)
1.03062340293081e-002	(-6.35972102254396e+001dB,1.77043872986816e+002°)
1.03086074006261e-002	(-6.35932128699601e+001dB,1.77043192534158e+002°)
1.03109813184961e-002	(-6.35892155156978e+001dB,1.77042511925008e+002°)
1.03133557830437e-002	(-6.35852181626535e+001dB,1.77041831159331e+002°)
1.03157307943950e-002	(-6.35812208108276e+001dB,1.77041150237091e+002°)
1.03181063526758e-002	(-6.35772234602207e+001dB,1.77040469158251e+002°)
1.03204824580121e-002	(-6.35732261108333e+001dB,1.77039787922777e+002°)
1.03228591105299e-002	(-6.35692287626661e+001dB,1.77039106530631e+002°)
1.03252363103551e-002	(-6.35652314157196e+001dB,1.77038424981778e+002°)
1.03276140576138e-002	(-6.35612340699943e+001dB,1.77037743276183e+002°)
1.03299923524322e-002	(-6.35572367254908e+001dB,1.77037061413808e+002°)
1.03323711949362e-002	(-6.35532393822097e+001dB,1.77036379394619e+002°)
1.03347505852520e-002	(-6.35492420401515e+001dB,1.77035697218579e+002°)
1.03371305235057e-002	(-6.35452446993168e+001dB,1.77035014885652e+002°)
